tourney_name,tourney_date,surface,tourney_level,round,winner_name,loser_name,winner_rank,loser_rank,score,best_of,court,location
Dubai Tennis Championships,20250301,Hard,ATP500,The Final,Tsitsipas S.,Auger-Aliassime F.,11,21.0,6-3 6-3,3,Outdoor,Dubai 
Chile Open,20250301,Clay,ATP250,Quarterfinals,Baez S.,Dzumhur D.,31,90.0,6-4 6-4,3,Indoor,Santiago
Chile Open,20250301,Clay,ATP250,Semifinals,Djere L.,Cerundolo F.,103,26.0,6-1 4-6 6-3,3,Indoor,Santiago
Dubai Tennis Championships,20250301,Hard,ATP500,The Final,Tsitsipas S.,Auger-Aliassime F.,11,21.0,6-3 6-3,3,Outdoor,Dubai 
Chile Open,20250301,Clay,ATP250,Semifinals,Baez S.,Ugo Carabelli C.,31,69.0,6-1 3-6 6-2,3,Indoor,Santiago
Chile Open,20250302,Clay,ATP250,The Final,Djere L.,Baez S.,103,31.0,6-4 3-6 7-5,3,Indoor,Santiago
Abierto Mexicano,20250302,Hard,ATP500,The Final,Machac T.,Davidovich Fokina A.,25,48.0,7-6 6-2,3,Outdoor,Acapulco
Chile Open,20250302,Clay,ATP250,The Final,Djere L.,Baez S.,103,31.0,6-4 3-6 7-5,3,Indoor,Santiago
Abierto Mexicano,20250302,Hard,ATP500,The Final,Machac T.,Davidovich Fokina A.,25,48.0,7-6 6-2,3,Outdoor,Acapulco
BNP Paribas Open,20250305,Hard,Masters 1000,1st Round,Nishikori K.,Munar J.,76,58.0,6-2 5-7 7-6,3,Outdoor,Indian Wells
BNP Paribas Open,20250305,Hard,Masters 1000,1st Round,Boyer T.,Vukic A.,117,64.0,4-6 6-2 7-6,3,Outdoor,Indian Wells
BNP Paribas Open,20250305,Hard,Masters 1000,1st Round,Seyboth Wild T.,Muller A.,91,44.0,4-6 7-5 7-6,3,Outdoor,Indian Wells
BNP Paribas Open,20250305,Hard,Masters 1000,1st Round,O Connell C.,Carballes Baena R.,75,52.0,6-3 0-6 6-1,3,Outdoor,Indian Wells
BNP Paribas Open,20250305,Hard,Masters 1000,1st Round,Griekspoor T.,Kecmanovic M.,43,49.0,6-7 6-4 6-3,3,Outdoor,Indian Wells
BNP Paribas Open,20250305,Hard,Masters 1000,1st Round,Marozsan F.,Martinez P.,54,41.0,6-3 6-2,3,Outdoor,Indian Wells
BNP Paribas Open,20250305,Hard,Masters 1000,1st Round,Dzumhur D.,Bautista Agut R.,84,50.0,6-4 1-6 7-6,3,Outdoor,Indian Wells
BNP Paribas Open,20250305,Hard,Masters 1000,1st Round,Safiullin R.,Opelka R.,69,114.0,7-5 6-4,3,Outdoor,Indian Wells
BNP Paribas Open,20250305,Hard,Masters 1000,1st Round,Safiullin R.,Opelka R.,69,114.0,7-5 6-4,3,Outdoor,Indian Wells
BNP Paribas Open,20250305,Hard,Masters 1000,1st Round,Dzumhur D.,Bautista Agut R.,84,50.0,6-4 1-6 7-6,3,Outdoor,Indian Wells
BNP Paribas Open,20250305,Hard,Masters 1000,1st Round,Smith C.,Cobolli F.,261,40.0,3-6 6-2 6-2,3,Outdoor,Indian Wells
BNP Paribas Open,20250305,Hard,Masters 1000,1st Round,Marozsan F.,Martinez P.,54,41.0,6-3 6-2,3,Outdoor,Indian Wells
BNP Paribas Open,20250305,Hard,Masters 1000,1st Round,Bu Y.,Basavareddy N.,71,101.0,7-5 6-4,3,Outdoor,Indian Wells
BNP Paribas Open,20250305,Hard,Masters 1000,1st Round,Griekspoor T.,Kecmanovic M.,43,49.0,6-7 6-4 6-3,3,Outdoor,Indian Wells
BNP Paribas Open,20250305,Hard,Masters 1000,1st Round,O Connell C.,Carballes Baena R.,75,52.0,6-3 0-6 6-1,3,Outdoor,Indian Wells
BNP Paribas Open,20250305,Hard,Masters 1000,1st Round,Seyboth Wild T.,Muller A.,91,44.0,4-6 7-5 7-6,3,Outdoor,Indian Wells
BNP Paribas Open,20250305,Hard,Masters 1000,1st Round,Boyer T.,Vukic A.,117,64.0,4-6 6-2 7-6,3,Outdoor,Indian Wells
BNP Paribas Open,20250305,Hard,Masters 1000,1st Round,Nishikori K.,Munar J.,76,58.0,6-2 5-7 7-6,3,Outdoor,Indian Wells
BNP Paribas Open,20250305,Hard,Masters 1000,1st Round,Bu Y.,Basavareddy N.,71,101.0,7-5 6-4,3,Outdoor,Indian Wells
BNP Paribas Open,20250305,Hard,Masters 1000,1st Round,Smith C.,Cobolli F.,261,40.0,3-6 6-2 6-2,3,Outdoor,Indian Wells
BNP Paribas Open,20250306,Hard,Masters 1000,1st Round,Monfils G.,Struff J.L.,42,46.0,6-4 6-4,3,Outdoor,Indian Wells
BNP Paribas Open,20250306,Hard,Masters 1000,1st Round,Bergs Z.,Quinn E.,53,137.0,7-6 6-3,3,Outdoor,Indian Wells
BNP Paribas Open,20250306,Hard,Masters 1000,1st Round,Giron M.,Basilashvili N.,48,152.0,7-5 7-6,3,Outdoor,Indian Wells
BNP Paribas Open,20250306,Hard,Masters 1000,1st Round,Bergs Z.,Quinn E.,53,137.0,7-6 6-3,3,Outdoor,Indian Wells
BNP Paribas Open,20250306,Hard,Masters 1000,1st Round,Moutet C.,Thompson J.,79,38.0,6-4 4-6 6-3,3,Outdoor,Indian Wells
BNP Paribas Open,20250306,Hard,Masters 1000,1st Round,Norrie C.,Nardi L.,77,67.0,6-0 6-3,3,Outdoor,Indian Wells
BNP Paribas Open,20250306,Hard,Masters 1000,1st Round,Watanuki Y.,Bublik A.,349,82.0,6-3 3-6 6-3,3,Outdoor,Indian Wells
BNP Paribas Open,20250306,Hard,Masters 1000,1st Round,Hijikata R.,Shevchenko A.,83,98.0,6-1 6-3,3,Outdoor,Indian Wells
BNP Paribas Open,20250306,Hard,Masters 1000,1st Round,Fonseca J.,Fearnley J.,80,81.0,6-2 1-6 6-3,3,Outdoor,Indian Wells
BNP Paribas Open,20250306,Hard,Masters 1000,1st Round,Brooksby J.,Bonzi B.,937,62.0,1-6 7-5 7-5,3,Outdoor,Indian Wells
BNP Paribas Open,20250306,Hard,Masters 1000,1st Round,Mensik J.,Etcheverry T.,57,45.0,6-4 7-6,3,Outdoor,Indian Wells
BNP Paribas Open,20250306,Hard,Masters 1000,1st Round,McDonald M.,Davidovich Fokina A.,109,39.0,2-6 6-3 6-2,3,Outdoor,Indian Wells
BNP Paribas Open,20250306,Hard,Masters 1000,1st Round,Diallo G.,Zhang Zh.,88,51.0,2-6 6-2 7-6,3,Outdoor,Indian Wells
BNP Paribas Open,20250306,Hard,Masters 1000,1st Round,Giron M.,Basilashvili N.,48,152.0,7-5 7-6,3,Outdoor,Indian Wells
BNP Paribas Open,20250306,Hard,Masters 1000,1st Round,Gigante M.,Baez S.,217,34.0,3-6 6-1 6-4,3,Outdoor,Indian Wells
BNP Paribas Open,20250306,Hard,Masters 1000,1st Round,Arnaldi M.,Kovacevic A.,35,94.0,6-3 5-7 6-4,3,Outdoor,Indian Wells
BNP Paribas Open,20250306,Hard,Masters 1000,1st Round,Gigante M.,Baez S.,217,34.0,3-6 6-1 6-4,3,Outdoor,Indian Wells
BNP Paribas Open,20250306,Hard,Masters 1000,1st Round,Diallo G.,Zhang Zh.,88,51.0,2-6 6-2 7-6,3,Outdoor,Indian Wells
BNP Paribas Open,20250306,Hard,Masters 1000,1st Round,McDonald M.,Davidovich Fokina A.,109,39.0,2-6 6-3 6-2,3,Outdoor,Indian Wells
BNP Paribas Open,20250306,Hard,Masters 1000,1st Round,Mensik J.,Etcheverry T.,57,45.0,6-4 7-6,3,Outdoor,Indian Wells
BNP Paribas Open,20250306,Hard,Masters 1000,1st Round,Brooksby J.,Bonzi B.,937,62.0,1-6 7-5 7-5,3,Outdoor,Indian Wells
BNP Paribas Open,20250306,Hard,Masters 1000,1st Round,Fonseca J.,Fearnley J.,80,81.0,6-2 1-6 6-3,3,Outdoor,Indian Wells
BNP Paribas Open,20250306,Hard,Masters 1000,1st Round,Hijikata R.,Shevchenko A.,83,98.0,6-1 6-3,3,Outdoor,Indian Wells
BNP Paribas Open,20250306,Hard,Masters 1000,1st Round,Watanuki Y.,Bublik A.,349,82.0,6-3 3-6 6-3,3,Outdoor,Indian Wells
BNP Paribas Open,20250306,Hard,Masters 1000,1st Round,Norrie C.,Nardi L.,77,67.0,6-0 6-3,3,Outdoor,Indian Wells
BNP Paribas Open,20250306,Hard,Masters 1000,1st Round,Moutet C.,Thompson J.,79,38.0,6-4 4-6 6-3,3,Outdoor,Indian Wells
BNP Paribas Open,20250306,Hard,Masters 1000,1st Round,Arnaldi M.,Kovacevic A.,35,94.0,6-3 5-7 6-4,3,Outdoor,Indian Wells
BNP Paribas Open,20250306,Hard,Masters 1000,1st Round,Monfils G.,Struff J.L.,42,46.0,6-4 6-4,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,2nd Round,Musetti L.,Safiullin R.,16,69.0,7-5 5-7 6-2,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,1st Round,Borges N.,Rinderknech A.,36,73.0,6-1 5-7 6-2,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,1st Round,Gaston H.,Darderi L.,93,60.0,6-3 6-3,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,2nd Round,Giron M.,Ruud C.,48,5.0,7-6 3-6 6-2,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,2nd Round,Norrie C.,Lehecka J.,77,24.0,3-6 6-4 7-5,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,2nd Round,Popyrin A.,Bergs Z.,27,53.0,7-6 7-5,3,Outdoor,Indian Wells
BNP Paribas Open,20250307,Hard,Masters 1000,2nd Round,Mpetshi G.,Marozsan F.,30,54.0,6-4,3,Outdoor,Indian Wells
