tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
20250102-Hong_Kong_,Hong Kong Tennis Open,Hard,,,20250102,48,,,,Juncheng Shang,,,,,,,,Pedro Martinez,,,,,6-3 6-1,3,R64,,,,,,,,,,,,,,,,,,,,50,,43.0,
20250102-Hong_Kong_,Hong Kong Tennis Open,Hard,,,20250102,49,,,,Fabian Marozsan,,,,,,,,Andrey Rublev,,,,,7-5 3-6 6-3,3,R64,,,,,,,,,,,,,,,,,,,,58,,8.0,
20250103-Hong_Kong_,Hong Kong Tennis Open,Hard,,,20250103,50,,,,Alexandre Muller,,,,,,,,Arthur Fils,,,,,3-6 6-3 6-1,3,QF,,,,,,,,,,,,,,,,,,,,67,,20.0,
20250103-Hong_Kong_,Hong Kong Tennis Open,Hard,,,20250103,51,,,,Jaume Munar,,,,,,,,Lorenzo Musetti,,,,,2-6 7-6 7-5,3,QF,,,,,,,,,,,,,,,,,,,,62,,17.0,
20250103-Hong_Kong_,Hong Kong Tennis Open,Hard,,,20250103,52,,,,Juncheng Shang,,,,,,,,Fabian Marozsan,,,,,1-6 6-3 6-4,3,QF,,,,,,,,,,,,,,,,,,,,50,,58.0,
20250103-Hong_Kong_,Hong Kong Tennis Open,Hard,,,20250103,53,,,,Kei Nishikori,,,,,,,,Cameron Norrie,,,,,6-3 3-6 6-2,3,QF,,,,,,,,,,,,,,,,,,,,106,,49.0,
20250104-Hong_Kong_,Hong Kong Tennis Open,Hard,,,20250104,54,,,,Alexandre Muller,,,,,,,,Jaume Munar,,,,,7-6 6-4,3,SF,,,,,,,,,,,,,,,,,,,,67,,62.0,
20250104-Hong_Kong_,Hong Kong Tennis Open,Hard,,,20250104,55,,,,Kei Nishikori,,,,,,,,Juncheng Shang,,,,,4-3,3,SF,,,,,,,,,,,,,,,,,,,,106,,50.0,
20250105-Hong_Kong_,Hong Kong Tennis Open,Hard,,,20250105,56,,,,Alexandre Muller,,,,,,,,Kei Nishikori,,,,,2-6 6-1 6-3,3,F,,,,,,,,,,,,,,,,,,,,67,,106.0,
20250106-Adelaide_I,Adelaide International,Hard,,,20250106,57,,,,Denis Shapovalov,,,,,,,,Zhizhen Zhang,,,,,6-3 6-4,3,R128,,,,,,,,,,,,,,,,,,,,58,,47.0,
20250106-Adelaide_I,Adelaide International,Hard,,,20250106,58,,,,Alejandro Davidovich Fokina,,,,,,,,Roberto Bautista Agut,,,,,7-5 6-2,3,R128,,,,,,,,,,,,,,,,,,,,68,,51.0,
20250106-Adelaide_I,Adelaide International,Hard,,,20250106,59,,,,Thanasi Kokkinakis,,,,,,,,Yoshihito Nishioka,,,,,6-3 3-6 6-3,3,R128,,,,,,,,,,,,,,,,,,,,77,,63.0,
20250107-Adelaide_I,Adelaide International,Hard,,,20250107,60,,,,Li Tu,,,,,,,,James Duckworth,,,,,6-1 7-5,3,R128,,,,,,,,,,,,,,,,,,,,179,,94.0,
20250107-Adelaide_I,Adelaide International,Hard,,,20250107,61,,,,Manuel Guinard,,,,,,,,Roman Safiullin,,,,,7-6 2-6 6-1,3,R128,,,,,,,,,,,,,,,,,,,,261,,62.0,
20250107-Adelaide_I,Adelaide International,Hard,,,20250107,62,,,,Marcos Giron,,,,,,,,Aleksandar Vukic,,,,,6-2 3-6 6-3,3,R128,,,,,,,,,,,,,,,,,,,,45,,67.0,
20250107-Adelaide_I,Adelaide International,Hard,,,20250107,63,,,,Miomir Kecmanovic,,,,,,,,Alexander Bublik,,,,,6-4 6-2,3,R128,,,,,,,,,,,,,,,,,,,,55,,33.0,
20250107-Adelaide_I,Adelaide International,Hard,,,20250107,64,,,,Arthur Cazaux,,,,,,,,Adam Walton,,,,,7-5 6-1,3,R128,,,,,,,,,,,,,,,,,,,,80,,91.0,
20250107-Adelaide_I,Adelaide International,Hard,,,20250107,65,,,,Brandon Nakashima,,,,,,,,Yannick Hanfmann,,,,,6-1 2-6 6-3,3,R128,,,,,,,,,,,,,,,,,,,,37,,98.0,
20250107-Adelaide_I,Adelaide International,Hard,,,20250107,66,,,,Rinky Hijikata,,,,,,,,David Goffin,,,,,6-1 6-2,3,R128,,,,,,,,,,,,,,,,,,,,79,,53.0,
20250107-Adelaide_I,Adelaide International,Hard,,,20250107,67,,,,Tomas Martin Etcheverry,,,,,,,,Tristan Schoolkate,,,,,7-6 6-3,3,R128,,,,,,,,,,,,,,,,,,,,39,,173.0,
20250108-Adelaide_I,Adelaide International,Hard,,,20250108,68,,,,Felix Auger Aliassime,,,,,,,,Arthur Cazaux,,,,,1-6 6-4 7-5,3,R64,,,,,,,,,,,,,,,,,,,,29,,80.0,
20250108-Adelaide_I,Adelaide International,Hard,,,20250108,69,,,,Marcos Giron,,,,,,,,Denis Shapovalov,,,,,7-5 6-2,3,R64,,,,,,,,,,,,,,,,,,,,45,,58.0,
20250108-Adelaide_I,Adelaide International,Hard,,,20250108,70,,,,Rinky Hijikata,,,,,,,,Brandon Nakashima,,,,,6-2 3-6 7-6,3,R64,,,,,,,,,,,,,,,,,,,,79,,37.0,
20250108-Adelaide_I,Adelaide International,Hard,,,20250108,71,,,,Benjamin Bonzi,,,,,,,,Li Tu,,,,,6-3 6-3,3,R64,,,,,,,,,,,,,,,,,,,,70,,179.0,
20250108-Adelaide_I,Adelaide International,Hard,,,20250108,72,,,,Sebastian Korda,,,,,,,,Alejandro Davidovich Fokina,,,,,6-3 6-3,3,R64,,,,,,,,,,,,,,,,,,,,22,,68.0,
20250108-Adelaide_I,Adelaide International,Hard,,,20250108,73,,,,Tommy Paul,,,,,,,,Manuel Guinard,,,,,6-4 3-6 6-3,3,R64,,,,,,,,,,,,,,,,,,,,12,,261.0,
20250108-Adelaide_I,Adelaide International,Hard,,,20250108,74,,,,Thanasi Kokkinakis,,,,,,,,Tomas Martin Etcheverry,,,,,7-5 4-6 7-6,3,R64,,,,,,,,,,,,,,,,,,,,77,,39.0,
20250109-Adelaide_I,Adelaide International,Hard,,,20250109,75,,,,Tommy Paul,,,,,,,,Rinky Hijikata,,,,,6-3 6-4,3,QF,,,,,,,,,,,,,,,,,,,,12,,79.0,
20250109-Adelaide_I,Adelaide International,Hard,,,20250109,76,,,,Felix Auger Aliassime,,,,,,,,Marcos Giron,,,,,7-6 6-3,3,QF,,,,,,,,,,,,,,,,,,,,29,,45.0,
20250109-Adelaide_I,Adelaide International,Hard,,,20250109,77,,,,Miomir Kecmanovic,,,,,,,,Benjamin Bonzi,,,,,6-2 6-3,3,QF,,,,,,,,,,,,,,,,,,,,55,,70.0,
20250109-Adelaide_I,Adelaide International,Hard,,,20250109,78,,,,Sebastian Korda,,,,,,,,Thanasi Kokkinakis,,,,,,3,QF,,,,,,,,,,,,,,,,,,,,22,,77.0,
20250110-Adelaide_I,Adelaide International,Hard,,,20250110,79,,,,Felix Auger Aliassime,,,,,,,,Tommy Paul,,,,,7-6 3-6 6-4,3,SF,,,,,,,,,,,,,,,,,,,,29,,12.0,
20250110-Adelaide_I,Adelaide International,Hard,,,20250110,80,,,,Sebastian Korda,,,,,,,,Miomir Kecmanovic,,,,,6-3 7-6,3,SF,,,,,,,,,,,,,,,,,,,,22,,55.0,
20250111-Adelaide_I,Adelaide International,Hard,,,20250111,81,,,,Felix Auger Aliassime,,,,,,,,Sebastian Korda,,,,,6-3 3-6 6-1,3,F,,,,,,,,,,,,,,,,,,,,29,,22.0,
20250105-ASB_Classi,ASB Classic,Hard,,,20250105,82,,,,Nuno Borges,,,,,,,,Luciano Darderi,,,,,5-7 6-3 7-5,3,R128,,,,,,,,,,,,,,,,,,,,36,,44.0,
20250106-ASB_Classi,ASB Classic,Hard,,,20250106,83,,,,Roberto Carballes Baena,,,,,,,,Daniel Altmaier,,,,,6-3 3-6 7-5,3,R128,,,,,,,,,,,,,,,,,,,,59,,93.0,
20250106-ASB_Classi,ASB Classic,Hard,,,20250106,84,,,,Zizou Bergs,,,,,,,,Isaac Becroft,,,,,6-3 7-5,3,R128,,,,,,,,,,,,,,,,,,,,66,,980.0,
20250106-ASB_Classi,ASB Classic,Hard,,,20250106,85,,,,Alex Michelsen,,,,,,,,Sumit Nagal,,,,,6-7 6-4 6-2,3,R128,,,,,,,,,,,,,,,,,,,,41,,96.0,
20250106-ASB_Classi,ASB Classic,Hard,,,20250106,86,,,,Mariano Navone,,,,,,,,Adrian Mannarino,,,,,7-6 6-7 6-1,3,R128,,,,,,,,,,,,,,,,,,,,46,,73.0,
20250106-ASB_Classi,ASB Classic,Hard,,,20250106,87,,,,Luca Nardi,,,,,,,,Flavio Cobolli,,,,,6-2 1-1,3,R128,,,,,,,,,,,,,,,,,,,,90,,32.0,
20250106-ASB_Classi,ASB Classic,Hard,,,20250106,88,,,,Lorenzo Sonego,,,,,,,,Gabriel Diallo,,,,,7-6 2-6 7-6,3,R128,,,,,,,,,,,,,,,,,,,,54,,87.0,
20250106-ASB_Classi,ASB Classic,Hard,,,20250106,89,,,,Facundo Diaz Acosta,,,,,,,,Cameron Norrie,,,,,6-2 6-3,3,R128,,,,,,,,,,,,,,,,,,,,78,,48.0,
20250107-ASB_Classi,ASB Classic,Hard,,,20250107,90,,,,Gael Monfils,,,,,,,,Pedro Martinez,,,,,1-6 7-6 6-3,3,R128,,,,,,,,,,,,,,,,,,,,52,,43.0,
20250107-ASB_Classi,ASB Classic,Hard,,,20250107,91,,,,Nishesh Basavareddy,,,,,,,,Francisco Comesana,,,,,6-2 6-2,3,R128,,,,,,,,,,,,,,,,,,,,133,,85.0,
20250107-ASB_Classi,ASB Classic,Hard,,,20250107,92,,,,Jakub Mensik,,,,,,,,Pablo Carreno Busta,,,,,6-0 4-6 7-5,3,R128,,,,,,,,,,,,,,,,,,,,49,,184.0,
20250107-ASB_Classi,ASB Classic,Hard,,,20250107,93,,,,Nishesh Basavareddy,,,,,,,,Alejandro Tabilo,,,,,6-4 5-7 6-4,3,R64,,,,,,,,,,,,,,,,,,,,133,,23.0,
20250107-ASB_Classi,ASB Classic,Hard,,,20250107,94,,,,Zizou Bergs,,,,,,,,Luca Nardi,,,,,6-1 6-4,3,R64,,,,,,,,,,,,,,,,,,,,66,,90.0,
20250108-ASB_Classi,ASB Classic,Hard,,,20250108,95,,,,Alex Michelsen,,,,,,,,Lorenzo Sonego,,,,,7-6 6-2,3,R64,,,,,,,,,,,,,,,,,,,,41,,54.0,
20250108-ASB_Classi,ASB Classic,Hard,,,20250108,96,,,,Facundo Diaz Acosta,,,,,,,,Sebastian Baez,,,,,6-4 7-6,3,R64,,,,,,,,,,,,,,,,,,,,78,,28.0,
20250108-ASB_Classi,ASB Classic,Hard,,,20250108,97,,,,Roberto Carballes Baena,,,,,,,,Francisco Cerundolo,,,,,6-2 7-5,3,R64,,,,,,,,,,,,,,,,,,,,59,,31.0,
20250108-ASB_Classi,ASB Classic,Hard,,,20250108,98,,,,Gael Monfils,,,,,,,,Jan Lennard Struff,,,,,6-1 7-6,3,R64,,,,,,,,,,,,,,,,,,,,52,,42.0,
20250108-ASB_Classi,ASB Classic,Hard,,,20250108,99,,,,Nuno Borges,,,,,,,,Mariano Navone,,,,,4-6 7-5 6-4,3,R64,,,,,,,,,,,,,,,,,,,,36,,46.0,
20250108-ASB_Classi,ASB Classic,Hard,,,20250108,100,,,,Jakub Mensik,,,,,,,,Ben Shelton,,,,,7-6 4-6 7-5,3,R64,,,,,,,,,,,,,,,,,,,,49,,21.0,
